iter	RMSE
141	2021.105056
142	2019.141977
143	2017.043982
144	2014.351299
145	2012.738159
146	2010.15969
147	2008.164279
148	2005.040118
149	2002.746389
150	1999.888206
151	1998.003478
152	1995.425172
153	1992.959905
154	1991.05485
155	1989.06583
156	1986.307485
157	1983.836139
158	1981.946861
159	1978.01457
160	1975.034348
161	1971.53755
162	1969.561407
163	1967.624141
164	1966.079994
165	1964.210371
166	1962.006303
167	1958.16034
168	1956.082256
169	1953.639936
170	1952.316638
171	1949.78748
172	1947.801549
173	1946.302851
174	1943.487114
175	1942.10036
176	1939.411104
177	1937.798952
178	1936.287685
179	1934.711546
180	1931.346634
181	1930.22783
182	1928.680787
183	1927.188415
184	1922.799627
185	1920.499319
186	1916.945408
187	1914.352341
188	1912.578945
189	1910.57147
190	1909.269188
191	1908.29539
192	1906.450692
193	1902.553581
194	1900.96581
195	1896.994825
196	1895.569461
197	1894.11412
198	1891.30213
199	1888.767664
200	1885.279681
201	1883.027434
202	1881.519269
203	1879.332517
204	1877.870593
205	1876.312513
206	1873.618423
207	1870.661021
208	1869.190144
209	1867.5643
210	1866.006923
211	1864.632379
212	1862.578461
213	1861.329659
214	1858.778076
215	1857.044272
216	1854.71671
217	1853.843268
218	1852.098317
219	1850.622333
220	1849.243058
221	1848.012977
222	1846.750939
223	1845.482713
224	1844.460026
225	1842.117889
226	1840.913046
227	1837.852425
228	1837.051005
229	1835.710806
230	1834.0194
231	1833.093188
232	1831.048555
233	1830.246862
234	1828.505533
235	1827.052145
236	1825.371077
237	1823.764739
238	1822.58874
239	1821.326897
240	1820.585388
241	1819.380471
242	1818.284377
243	1817.029893
244	1816.066946
245	1814.667322
246	1812.431334
247	1810.988552
248	1809.85062
249	1808.593998
250	1807.942416
251	1806.756553
252	1805.227731
253	1804.130663
254	1803.062943
255	1799.746561
256	1799.13458
257	1798.111432
258	1796.482201
259	1795.54805
260	1794.157626
261	1792.315085
262	1791.128303
263	1790.179066
264	1789.134203
265	1786.669357
266	1785.216951
267	1783.822507
268	1781.262496
269	1780.244944
270	1779.489636
271	1778.071649
272	1776.149
273	1775.404989
274	1774.896166
275	1773.531954
276	1772.411858
277	1771.574338
278	1770.606473
279	1769.938092
280	1768.668257
281	1767.56498
282	1766.192059
283	1764.123559
284	1763.053715
285	1761.799954
286	1761.154391
287	1760.113859
288	1758.435929
289	1757.645398
290	1756.496847
291	1754.950705
292	1754.176259
293	1752.968708
294	1751.216284
295	1750.185472
296	1748.813648
297	1747.722421
298	1746.739243
299	1745.253479
300	1744.234874
301	1743.095072
302	1742.285475
303	1741.491092
304	1740.731015
305	1739.730023
306	1739.27793
307	1738.810272
308	1738.307783
309	1737.326927
310	1736.571727
311	1735.737317
312	1733.631918
313	1732.578644
314	1731.113065
315	1729.955906
316	1727.570413
317	1725.458286
318	1723.603737
319	1721.967258
320	1721.121945
321	1720.272431
322	1718.568451
323	1717.047434
324	1716.179623
325	1714.836991
326	1713.429593
327	1712.298945
328	1711.515564
329	1710.337588
330	1708.667329
331	1708.021699
332	1706.880358
333	1705.908332
334	1705.510891
335	1704.491513
336	1703.869956
337	1702.393717
338	1701.217241
339	1700.463664
340	1698.829772
341	1698.422057
342	1696.941581
343	1696.180083
344	1694.205047
345	1692.742971
346	1691.543616
347	1690.417835
348	1689.421933
349	1688.230072
350	1687.467674
351	1686.859708
352	1686.127956
353	1684.745712
354	1684.387841
355	1683.604831
356	1682.712087
357	1681.362465
358	1680.686328
359	1679.271897
360	1678.672993
361	1677.770994
362	1676.973095
363	1675.861721
364	1675.295663
365	1673.968848
366	1672.483961
367	1670.734504
368	1670.074614
369	1668.577559
370	1667.635881
371	1666.70071
372	1665.967239
373	1664.54889
374	1663.481815
375	1662.925822
376	1662.276709
377	1661.324208
378	1660.638315
379	1659.84186
380	1658.611655
381	1657.682717
382	1656.570647
383	1655.976023
384	1654.827767
385	1653.860752
386	1653.230746
387	1652.492724
388	1651.879872
389	1651.25341
390	1650.822525
391	1650.070657
392	1649.410346
393	1648.36153
394	1647.279637
395	1646.29071
396	1645.943539
397	1644.808487
398	1644.35468
399	1643.251004
400	1642.775936
401	1641.385147
402	1640.783036
403	1639.783274
404	1639.245446
405	1638.428034
406	1637.973858
407	1637.274616
408	1636.348551
409	1635.483788
410	1634.650104
411	1633.666179
412	1632.220188
413	1631.835496
414	1630.994515
415	1630.65993
416	1629.055672
417	1628.688478
418	1627.913146
419	1626.922533
420	1626.402061
421	1625.195493
422	1624.721568
423	1624.010804
424	1623.06828
425	1621.792452
426	1621.128797
427	1620.475883
428	1619.876429
429	1618.844343
430	1618.105552
431	1617.461763
432	1616.598605
433	1615.841025
434	1614.761014
435	1613.88774
436	1612.876723
437	1612.334498
438	1611.62482
439	1610.303434
440	1609.050194
441	1608.454987
442	1608.061153
443	1606.740479
444	1605.78658
445	1604.66613
446	1603.966642
447	1602.514396
448	1601.063493
449	1600.288772
450	1599.510822
451	1598.509811
452	1597.493613
453	1596.737453
454	1595.768603
455	1594.993553
456	1593.82195
457	1593.194049
458	1592.793634
459	1592.198803
460	1591.032503
461	1590.244814
462	1589.645337
463	1589.181246
464	1587.743102
465	1586.998927
466	1585.972562
467	1585.282796
468	1584.70236
469	1584.044291
470	1583.188621
471	1582.023822
472	1581.465807
473	1580.76651
474	1580.445022
475	1579.721834
476	1578.795802
477	1577.875426
478	1577.067833
479	1576.599981
480	1575.953935
481	1575.393471
482	1574.473065
483	1573.547594
484	1572.55735
485	1571.620095
486	1570.811717
487	1570.211401
488	1569.140975
489	1568.681508
490	1567.824928
491	1567.297379
492	1566.946469
493	1565.968006
494	1564.959277
495	1564.102751
496	1563.195805
497	1562.556188
498	1561.969427
499	1561.006009
500	1560.02103
501	1559.346217
502	1559.034501
503	1558.812027
504	1558.000134
505	1557.626624
506	1557.161123
507	1556.471034
508	1555.927268
509	1555.383967
510	1554.143223
511	1553.351402
512	1552.882253
513	1552.050105
514	1551.721299
515	1549.945583
516	1549.348435
517	1548.673354
518	1548.370176
519	1547.193147
520	1546.15249
521	1545.751081
522	1544.950915
523	1544.404859
524	1543.637451
525	1542.752892
526	1541.69492
527	1541.373935
528	1540.520094
529	1539.93779
530	1539.390027
531	1538.439135
532	1537.790511
533	1536.823175
534	1536.043986
535	1535.545676
536	1534.522964
537	1534.025116
538	1533.577834
539	1533.050329
540	1532.78333
541	1532.002787
542	1531.638328
543	1530.613599
544	1530.287236
545	1529.659062
546	1529.382072
547	1528.464387
548	1527.837544
549	1527.362707
550	1526.859518
551	1526.34478
552	1525.961524
553	1525.38651
554	1524.567956
555	1523.832362
556	1523.392648
557	1522.968074
558	1522.161131
559	1521.486255
560	1521.211948
561	1520.961608
562	1519.939191
563	1519.148168
564	1518.485231
565	1517.875132
566	1517.292328
567	1515.904185
568	1515.125781
569	1514.477991
570	1514.032678
571	1513.647624
572	1513.209829
573	1512.164086
574	1511.770186
575	1511.08375
576	1510.52401
577	1509.71888
578	1509.298094
579	1508.787712
580	1508.300699
581	1507.255555
582	1506.900446
583	1506.284935
584	1505.792124
585	1504.986765
586	1504.443333
587	1503.70919
588	1502.662261
589	1502.286484
590	1501.655373
591	1501.232818
592	1500.901886
593	1500.346058
594	1499.900788
595	1499.205397
596	1498.193717
597	1497.783916
598	1497.492283
599	1496.847335
600	1496.02801
601	1495.625771
602	1494.802747
603	1494.21053
604	1493.89134
605	1493.08323
606	1492.656617
607	1492.296947
608	1491.69518
609	1491.020838
610	1490.40432
611	1489.595078
612	1489.009732
613	1488.404302
614	1488.085103
615	1487.692483
616	1487.491549
617	1487.131542
618	1486.572632
619	1486.07734
620	1485.485202
621	1484.599566
622	1483.819821
623	1483.576814
624	1483.111206
625	1482.432169
626	1482.081104
627	1481.667685
628	1481.202076
629	1480.699187
630	1479.918779
631	1479.358882
632	1478.757911
633	1478.086052
634	1477.364535
635	1476.69667
636	1476.258596
637	1475.62462
638	1475.394908
639	1475.138312
640	1474.209222
641	1473.345985
642	1472.594287
643	1472.416917
644	1471.784415
645	1471.088075
646	1470.490687
647	1470.086381
648	1469.840212
649	1469.632059
650	1469.380304
651	1468.7241
652	1468.39637
653	1467.572606
654	1466.695584
655	1465.853622
656	1465.358066
657	1464.967943
658	1464.492327
659	1464.296691
660	1464.02231
661	1463.51597
662	1463.105416
663	1462.495016
664	1462.107501
665	1461.759782
666	1461.36735
667	1461.162297
668	1460.76212
669	1460.036924
670	1459.397054
671	1458.792178
672	1458.433167
673	1458.0728
674	1457.790811
675	1457.173647
676	1456.456614
677	1456.09957
678	1455.730385
679	1455.005444
680	1454.26943
681	1454.094238
682	1453.625801
683	1453.05119
684	1452.627442
685	1452.543565
686	1452.087954
687	1451.448023
688	1450.869383
689	1450.447301
690	1450.091529
691	1449.60403
692	1449.366789
693	1448.944618
694	1448.513756
695	1447.692893
696	1447.437001
697	1447.120084
698	1446.602963
699	1445.775449
700	1445.125937
701	1444.20156
702	1443.465551
703	1443.090724
704	1442.399412
705	1441.816941
706	1441.299761
707	1440.91694
708	1440.618139
709	1439.909546
710	1439.272557
711	1438.902972
712	1438.399736
713	1438.005639
714	1437.693493
715	1437.56743
716	1436.842183
717	1436.117003
718	1435.624049
719	1435.335224
720	1434.990045
721	1434.711917
722	1434.374952
723	1433.617887
724	1433.360974
725	1432.922868
726	1432.632542
727	1432.299221
728	1431.985403
729	1431.644408
730	1431.247234
731	1430.943414
732	1430.72632
733	1430.297841
734	1429.934163
735	1429.745582
736	1429.064024
737	1428.344146
738	1428.00666
739	1427.707398
740	1427.051503
741	1426.080846
742	1425.31941
743	1424.981739
744	1424.630255
745	1424.019644
746	1423.5851
747	1423.001499
748	1422.360087
749	1421.79893
750	1421.553885
751	1421.166596
752	1420.723249
753	1420.243112
754	1419.648515
755	1419.066335
756	1418.578228
757	1418.246671
758	1417.926609
759	1417.496222
760	1416.900194
761	1416.399956
762	1416.004653
763	1415.148174
764	1414.504381
765	1414.170768
766	1413.827147
767	1413.448328
768	1412.737876
769	1412.151357
770	1411.869299
771	1411.529937
772	1411.219362
773	1411.094323
774	1410.39021
775	1409.924149
776	1409.191517
777	1408.839459
778	1408.453577
779	1408.228607
780	1407.679188
781	1407.265558
782	1407.008718
783	1406.549892
784	1406.021377
785	1405.533549
786	1405.026153
787	1404.567458
788	1404.287885
789	1403.908439
790	1403.678229
791	1403.357658
792	1402.699468
793	1402.456543
794	1402.190309
795	1401.666912
796	1401.114866
797	1400.790457
798	1400.511391
799	1400.195695
800	1399.493171
801	1399.237227
802	1398.990866
803	1398.632874
804	1398.212117
805	1397.893725
806	1397.523546
807	1397.23167
808	1396.858901
809	1396.605933
810	1396.2559
811	1395.915323
812	1395.606952
813	1395.210185
814	1394.922515
815	1394.421612
816	1393.767269
817	1393.439142
818	1393.151728
819	1392.900426
820	1392.66229
821	1392.149724
822	1391.930829
823	1391.37608
824	1390.742585
825	1390.472515
826	1389.84549
827	1389.605408
828	1389.347278
829	1388.720611
830	1388.230798
831	1387.764845
832	1387.134397
833	1386.888694
834	1386.418518
835	1386.271775
836	1385.931633
837	1385.578078
838	1385.059834
839	1384.731796
840	1384.544054
841	1384.0152
842	1383.467279
843	1383.215975
844	1382.830795
845	1382.513444
846	1381.971407
847	1381.407116
848	1380.744605
849	1380.418504
850	1380.22103
851	1379.958809
852	1379.531851
853	1379.024007
854	1378.738949
855	1378.409279
856	1378.217106
857	1377.696323
858	1377.543104
859	1377.11659
860	1376.795967
861	1376.361647
862	1376.04172
863	1375.821945
864	1375.527576
865	1375.093314
866	1374.749079
867	1374.189882
868	1373.744202
869	1373.472004
870	1373.024426
871	1372.824939
872	1372.120377
873	1371.611848
874	1371.170697
875	1370.950948
876	1370.503996
877	1370.305175
878	1369.80299
879	1369.374383
880	1369.045609
881	1368.851272
882	1368.677412
883	1368.138771
884	1367.454169
885	1366.976935
886	1366.671731
887	1366.266475
888	1366.04471
889	1365.775338
890	1365.587721
891	1365.150453
892	1364.712497
893	1364.350455
894	1364.044802
895	1363.773531
896	1363.530107
897	1363.257805
898	1362.879758
899	1362.645899
900	1362.166157
901	1361.88569
902	1361.293877
903	1360.814385
904	1360.551288
905	1360.103859
906	1359.688938
907	1359.319853
908	1358.890796
909	1358.487155
910	1358.22051
911	1357.854713
912	1357.710223
913	1357.302131
914	1356.978841
915	1356.692959
916	1356.338042
917	1355.963686
918	1355.543872
919	1355.007701
920	1354.808801
921	1354.573796
922	1354.276499
923	1353.908785
924	1353.596166
925	1353.235942
926	1352.70679
927	1352.438699
928	1352.029753
929	1351.565833
930	1351.257449
931	1350.884836
932	1350.130086
933	1349.945539
934	1349.587239
935	1349.47305
936	1349.088333
937	1348.478026
938	1347.769469
939	1347.233873
940	1347.133278
941	1346.845364
942	1346.539889
943	1346.335583
944	1345.921905
945	1345.566081
946	1345.178965
947	1344.601354
948	1344.188317
949	1343.799364
950	1343.482728
951	1342.916764
952	1342.527004
953	1342.070481
954	1341.68015
955	1341.523338
956	1341.243339
957	1340.984194
958	1340.655833
959	1340.530844
960	1340.213895
961	1340.06005
962	1339.740485
963	1339.579871
964	1339.232203
965	1338.987995
966	1338.659614
967	1338.396614
968	1338.083086
969	1337.870803
970	1337.345703
971	1336.843384
972	1336.547488
973	1336.280191
974	1335.920987
975	1335.563487
976	1335.302084
977	1335.04412
978	1334.845032
979	1334.615763
980	1334.294715
981	1333.970246
982	1333.827003
983	1333.519431
984	1333.296386
985	1333.028453
986	1332.734484
987	1332.503947
988	1332.391806
989	1332.145217
990	1331.920954
991	1331.424144
992	1331.096642
993	1330.838189
994	1330.487955
995	1330.178652
996	1329.769235
997	1329.550525
998	1329.084634
999	1328.876508
